ID,Organization,Organization Type,Training Date,Address,City,State,Zip Code,Longitude,Latitude,Number Trained,Project Type,Taining Topic
,Troup-Harris Regional Library - La Grange Memorial Library,Public Library,1/24/2025,3240 US HWY 421,LaGrange,GA,40006,-85.32213565,38.63524908,13,,Email Basics
,Troup-Harris Regional Library - La Grange Memorial Library,Public Library,1/24/2025,3240 US HWY 421,LaGrange,GA,40006,-85.32213565,38.63524908,14,,Video Conferencing
,Troup-Harris Regional Library - La Grange Memorial Library,Public Library,1/24/2025,3240 US HWY 421,LaGrange,GA,40006,-85.32213565,38.63524908,3,,Open Lab Workshops
,Chrysalis House Phase 2,Rehabilitation Center,1/27/2025,1589 Hill Rise Drive,Lexington,KY,40504,-84.53054469,38.04711013,5,,Internet Basics
,Chrysalis House Phase 2,Rehabilitation Center,1/27/2025,1589 Hill Rise Drive,Lexington,KY,40504,-84.53054469,38.04711013,5,,Cybersecurity
,The Shepherd's House of Nicholasville,Rehabilitation Center,1/27/2025,105 Main Street,Nicholasville,KY,40356,-84.573205,37.88010862,6,,Internet Basics
,The Shepherd's House of Nicholasville,Rehabilitation Center,1/27/2025,105 Main Street,Nicholasville,KY,40356,-84.573205,37.88010862,6,,Cybersecurity
,Urban League of Greater Oklahoma City,Non-Profit,1/28/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,7,,Computer Basics Windows 10
,Urban League of Greater Oklahoma City,Non-Profit,1/28/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,7,,Internet Basics
,Urban League of Greater Oklahoma City,Non-Profit,1/28/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,7,,Video Conferencing
,Decatur Public Library,Public Library,1/29/2025,1700 S. FM 51,Decatur,TX,76234,-97.59517569,33.22099556,6,,Computer Basics Windows 10
,Decatur Public Library,Public Library,1/29/2025,1700 S. FM 51,Decatur,TX,76234,-97.59517569,33.22099556,6,,Internet Basics
,Decatur Public Library,Public Library,1/29/2025,1700 S. FM 51,Decatur,TX,76234,-97.59517569,33.22099556,1,,Open Lab Workshops
,Decatur Public Library,Public Library,1/30/2025,1700 S. FM 51,Decatur,TX,76234,-97.59517569,33.22099556,2,,Open Lab Workshops
,Decatur Public Library,Public Library,1/30/2025,1700 S. FM 51,Decatur,TX,76234,-97.59517569,33.22099556,3,,Mobile Device Basics (iOS)
,Decatur Public Library,Public Library,1/30/2025,1700 S. FM 51,Decatur,TX,76234,-97.59517569,33.22099556,1,,Mobile Device Basics (Android)
,Decatur Public Library,Public Library,1/30/2025,1700 S. FM 51,Decatur,TX,76234,-97.59517569,33.22099556,4,,Cybersecurity
,Urban League of Greater Oklahoma City,Non-Profit,1/30/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,7,,Mobile Device Basics (iOS)
,Urban League of Greater Oklahoma City,Non-Profit,1/30/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,7,,Email Basics
,Urban League of Greater Oklahoma City,Non-Profit,1/30/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,7,,Cybersecurity
,Hager's Well,Rehabilitation Center,2/1/2025,2200 Hawk Creek Road,London,KY,40741,-84.19817524,37.18537777,8,,Internet Basics
,Hager's Well,Rehabilitation Center,2/1/2025,2200 Hawk Creek Road,London,KY,40741,-84.19817524,37.18537777,8,,Cybersecurity
,Park Place,Rehabilitation Center,2/3/2025,49 Hillview Drive,Scottsville,KY,42164,-86.19930232,36.74729202,16,,Internet Basics
,Park Place,Rehabilitation Center,2/3/2025,49 Hillview Drive,Scottsville,KY,42164,-86.19930232,36.74729202,16,,Cybersecurity
,Hope Center,Community Center,2/4/2025,1524 Versailles Road,Lexington,KY,40504,-84.53072935,38.04901097,10,,Internet Basics
,Hope Center,Community Center,2/4/2025,1524 Versailles Road,Lexington,KY,40504,-84.53072935,38.04901097,10,,Cybersecurity
,Cross Roads Recovery,Rehabilitation Center,2/5/2025,225 N Laurel Road ,London,KY,40741,-84.10358102,37.14664692,16,,Internet Basics
,Cross Roads Recovery,Rehabilitation Center,2/5/2025,225 N Laurel Road ,London,KY,40741,-84.10358102,37.14664692,16,,Cybersecurity
,Arlington Mill Community Center,Community Center,2/18/2025,259 Old Flemingsburg Rd,Morehead,KY,40351,-83.44296786,38.17919957,22,,Computer Basics Windows 10
,Arlington Mill Community Center,Community Center,2/18/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,10,,Mobile Device Basics (iOS)
,Arlington Mill Community Center,Community Center,2/18/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,8,,Mobile Device Basics (Android)
,Arlington Mill Community Center,Community Center,2/18/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,2,,Open Lab Workshops
,Arlington Mill Community Center,Community Center,2/18/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,15,,Computer Basics Windows 10
,Arlington Mill Community Center,Community Center,2/18/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,6,,Mobile Device Basics (iOS)
,Arlington Mill Community Center,Community Center,2/18/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,4,,Mobile Device Basics (Android)
,Arlington Mill Community Center,Community Center,2/19/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,27,,Internet Basics
,Arlington Mill Community Center,Community Center,2/19/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,17,,Cybersecurity
,Arlington Mill Community Center,Community Center,2/19/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,1,,Open Lab Workshops
,Arlington Mill Community Center,Community Center,2/19/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,6,,Open Lab Workshops
,Arlington Mill Community Center,Community Center,2/19/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,9,,Internet Basics
,Arlington Mill Community Center,Community Center,2/19/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,8,,Cybersecurity
,Rowan County Senior Citizens Center,Senior Center,2/19/2025,200 NorthStar PI # A,Morehead,KY,40351,-83.44513986,38.17648841,49,,Mobile Device Basics (iOS)
,Rowan County Senior Citizens Center,Senior Center,2/19/2025,200 NorthStar PI # A,Morehead,KY,40351,-83.44513986,38.17648841,49,,Mobile Device Basics (Android)
,Rowan County Senior Citizens Center,Senior Center,2/19/2025,200 NorthStar PI # A,Morehead,KY,40351,-83.44513986,38.17648841,49,,Cybersecurity
,Arlington Mill Community Center,Community Center,2/20/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,22,,Email Basics
,Arlington Mill Community Center,Community Center,2/20/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,22,,Video Conferencing
,Arlington Mill Community Center,Community Center,2/20/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,5,,Open Lab Workshops
,Arlington Mill Community Center,Community Center,2/20/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,3,,Open Lab Workshops
,Arlington Mill Community Center,Community Center,2/20/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,15,,Email Basics
,Arlington Mill Community Center,Community Center,2/20/2025,909 S. Dinwiddie St.,Arlington,VA,22204,-77.11243809,38.85631783,15,,Video Conferencing
,Hickory Hills,Senior Center,2/21/2025,100 Recovery Way,Emmalena,KY,41740,-83.07009781,37.37638575,47,,Internet Basics
,Hickory Hills,Senior Center,2/21/2025,100 Recovery Way,Emmalena,KY,41740,-83.07009781,37.37638575,47,,Cybersecurity
,Ranger Senior Center,Senior Center,2/24/2025,69 Vanatters Creek,Ranger,WV,25557,-82.20260888,38.16216964,9,,Internet Basics
,Ranger Senior Center,Senior Center,2/24/2025,69 Vanatters Creek,Ranger,WV,25557,-82.20260888,38.16216964,9,,Cybersecurity
,Salt Rock Senior Center,Senior Center,2/24/2025,5490 Rt 10,Salt Rock,WV,25559,-82.22247307,38.32367634,37,,Internet Basics
,Salt Rock Senior Center,Senior Center,2/24/2025,5490 Rt 10,Salt Rock,WV,25559,-82.22247307,38.32367634,37,,Cybersecurity
,Milton Center,Non-Profit,2/25/2025,1032 Church Street,Milton,WV,25541,-82.13387342,38.43559076,21,,Internet Basics
,Milton Center,Non-Profit,2/25/2025,1032 Church Street,Milton,WV,25541,-82.13387342,38.43559076,21,,Cybersecurity
,Urban League of Greater Oklahoma City,Non-Profit,2/25/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,3,,Computer Basics Windows 10
,Urban League of Greater Oklahoma City,Non-Profit,2/25/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,2,,Internet Basics
,Barboursville Senior Center,Senior Center,2/26/2025,721 Central Ave,Barboursville,WV,25504,-82.29524149,38.40749667,38,,Internet Basics
,Barboursville Senior Center,Senior Center,2/26/2025,721 Central Ave,Barboursville,WV,25504,-82.29524149,38.40749667,38,,Cybersecurity
,Bob Bailey Senior Center,Senior Center,2/26/2025,544 14th St. ,Huntington,WV,25701,-82.43456201,38.42000225,6,,Cybersecurity
,Bob Bailey Senior Center,Senior Center,2/26/2025,544 14th St. ,Huntington,WV,25701,-82.43456201,38.42000225,6,,Internet Basics
,Jewish Family Services of Greater Dallas,Non-Profit,2/26/2025,5402 Arapaho Rd,Dallas,TX,75248,-96.81923668,32.95960918,8,,Cybersecurity
,Jewish Family Services of Greater Dallas,Non-Profit,2/26/2025,5402 Arapaho Rd,Dallas,TX,75248,-96.81923668,32.95960918,8,,Video Conferencing
,Urban League of Greater Oklahoma City,Non-Profit,2/26/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,1,,Video Conferencing
,Urban League of Greater Oklahoma City,Non-Profit,2/26/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,1,,Email Basics
,Urban League of Greater Oklahoma City,Non-Profit,2/27/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,1,,Mobile Device Basics (iOS)
,Urban League of Greater Oklahoma City,Non-Profit,2/27/2025,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,1,,Cybersecurity
,Shepherd's Shelter,Rehabilitation Center,2/28/2025,236 Bridgette Dr,Mt. Sterling,KY,40353,-83.93105614,38.05216655,19,,Internet Basics
,Shepherd's Shelter,Rehabilitation Center,2/28/2025,236 Bridgette Dr,Mt. Sterling,KY,40353,-83.93105614,38.05216655,19,,Cybersecurity
,Hogansville Public Library,Public Library,3/4/2025,310 Johnson St.,Hogansville,GA,30230,-84.91123213,33.17807816,1,,Computer Basics Windows 10
,Hogansville Public Library,Public Library,3/4/2025,310 Johnson St.,Hogansville,GA,30230,-84.91123213,33.17807816,1,,Internet Basics
,Hogansville Public Library,Public Library,3/4/2025,310 Johnson St.,Hogansville,GA,30230,-84.91123213,33.17807816,2,,Mobile Device Basics (Android)
,Hogansville Public Library,Public Library,3/5/2025,310 Johnson St.,Hogansville,GA,30230,-84.91123213,33.17807816,2,,Video Conferencing
,Hogansville Public Library,Public Library,3/5/2025,310 Johnson St.,Hogansville,GA,30230,-84.91123213,33.17807816,2,,Email Basics
,Hogansville Public Library,Public Library,3/5/2025,310 Johnson St.,Hogansville,GA,30230,-84.91123213,33.17807816,4,,Cybersecurity
,Marie Redd Senior Life,Senior Center,3/6/2025,1750 9th Ave.,Huntington,WV,25703,-82.4246103,38.41666107,9,,Cybersecurity
,Marie Redd Senior Life,Senior Center,3/6/2025,1750 9th Ave.,Huntington,WV,25703,-82.4246103,38.41666107,9,,Internet Basics
,The Active Life - Troup County Senior Center,Senior Center,3/6/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,20,,Computer Basics Windows 10
,The Active Life - Troup County Senior Center,Senior Center,3/6/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,17,,Internet Basics
,The Active Life - Troup County Senior Center,Senior Center,3/6/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,13,,Email Basics
,The Active Life - Troup County Senior Center,Senior Center,3/7/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,22,,Cybersecurity
,The Active Life - Troup County Senior Center,Senior Center,3/7/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,13,,Video Conferencing
,The Active Life - Troup County Senior Center,Senior Center,3/7/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,5,,Mobile Device Basics (iOS)
,The Active Life - Troup County Senior Center,Senior Center,3/7/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,4,,Mobile Device Basics (Android)
,Thunderbolt Senior Center,Senior Center,3/10/2025,3236 Russell Street,Savannah,GA,31404,-81.05163863,32.03129173,20,,Internet Basics
,Thunderbolt Senior Center,Senior Center,3/10/2025,3236 Russell Street,Savannah,GA,31404,-81.05163863,32.03129173,20,,Cybersecurity
,windor Forest Golden Age Center,Non-Profit,3/10/2025,"308 Briarcliff Circle, ",Savannah,GA,31419,-81.14430409,31.9738091,61,,Internet Basics
,Windor Forest Golden Age Center,Non-Profit,3/10/2025,"308 Briarcliff Circle, ",Savannah,GA,31419,-81.14430409,31.9738091,61,,Cybersecurity
,Liberty Neighborhood Center,Non-Profit,3/11/2025,800 Tupelo Trail,Hinesville,GA,31313,-81.57381184,31.84569142,24,,Internet Basics
,Liberty Neighborhood Center,Non-Profit,3/11/2025,800 Tupelo Trail,Hinesville,GA,31313,-81.57381184,31.84569142,24,,Cybersecurity
,Pooler Senior Center,Senior Center,3/11/2025,955 Plantation Dr,Pooler,GA,31322,-81.26462991,32.12867218,28,,Internet Basics
,Pooler Senior Center,Senior Center,3/11/2025,955 Plantation Dr,Pooler,GA,31322,-81.26462991,32.12867218,28,,Cybersecurity
,Senior Citizens of Campbell County,Government,3/11/2025,102 S. 8th St.,La Follette,TN,37813,-83.277292,36.186565,13,,Mobile Device Basics (iOS)
,Pennsylvania Ave Golden Age Center,Non-Profit,3/12/2025,425 Pennsylvania Ave.,Savannah,GA,31404,-81.05991215,32.06262421,27,,Internet Basics
,Pennsylvania Ave Golden Age Center,Non-Profit,3/12/2025,425 Pennsylvania Ave.,Savannah,GA,31404,-81.05991215,32.06262421,27,,Cybersecurity
,Port Wentworth Neighborhood Center,Community Center,3/12/2025,103 Turnberry St.,Port Wentworth,GA,31407,-81.16127283,32.14977991,15,,Internet Basics
,Port Wentworth Neighborhood Center,Community Center,3/12/2025,103 Turnberry St.,Port Wentworth,GA,31407,-81.16127283,32.14977991,15,,Cybersecurity
,Port Wentworth Neighborhood Center,Community Center,3/12/2025,103 Turnberry St.,Port Wentworth,GA,31407,-81.16127283,32.14977991,2,,Mobile Device Basics (iOS)
,Senior Citizens Center,Senior Center,3/13/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,5,,Computer Basics Windows 10
,Senior Citizens Center,Senior Center,3/13/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,8,,Internet Basics
,Senior Citizens Center,Senior Center,3/13/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,5,,Mobile Device Basics (iOS)
,Senior Citizens Center,Senior Center,3/13/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,4,,Mobile Device Basics (Android)
,Senior Citizens Center,Senior Center,3/13/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,3,,Computer Basics Windows 10
,Senior Citizens of Campbell County,Government,3/13/2025,102 S. 8th St.,La Follette,TN,37813,-83.277292,36.186565,13,,Mobile Device Basics (Android)
,Warren County Senior Center,Senior Center,3/13/2025,"59 Gibson Hwy,",Warrenton,GA,30828,-82.66070715,33.39893092,11,,Internet Basics
,Warren County Senior Center,Senior Center,3/13/2025,"59 Gibson Hwy,",Warrenton,GA,30828,-82.66070715,33.39893092,11,,Cybersecurity
,Waynesboro Burke County Senior Center,Senior Center,3/13/2025,"717 W 6th St,",Waynesboro,GA,30830,-82.02714015,33.0864469,68,,Internet Basics
,Waynesboro Burke County Senior Center,Senior Center,3/13/2025,"717 W 6th St,",Waynesboro,GA,30830,-82.02714015,33.0864469,68,,Cybersecurity
,Glascock County Senior Center,Senior Center,3/14/2025,568 Brassell Park,Gibson,GA,30810,-82.60104173,33.23629681,15,,Internet Basics
,Glascock County Senior Center,Senior Center,3/14/2025,568 Brassell Park,Gibson,GA,30810,-82.60104173,33.23629681,15,,Cybersecurity
,Senior Citizens Center,Senior Center,3/14/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,4,,Video Conferencing
,Senior Citizens Center,Senior Center,3/14/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,4,,Email Basics
,Senior Citizens Center,Senior Center,3/14/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,10,,Cybersecurity
,Senior Citizens Center,Senior Center,3/14/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,5,,Mobile Device Basics (iOS)
,Senior Citizens Center,Senior Center,3/14/2025,841 Lincoln Ave.,Morristown,TN,37160,-86.4619256,35.4827142,1,,Mobile Device Basics (Android)
,Clay County Jail (Men),Government,3/22/2025,67 Shamrock Lane,Manchester,KY,40962,-83.76452508,37.12869879,20,,Internet Basics
,Clay County Jail (Men),Government,3/22/2025,67 Shamrock Lane,Manchester,KY,40962,-83.76452508,37.12869879,20,,Cybersecurity
,Clay County Jail (Women),Government,3/22/2025,67 Shamrock Lane,Manchester,KY,40962,-83.76452508,37.12869879,16,,Internet Basics
,Clay County Jail (Women),Government,3/22/2025,67 Shamrock Lane,Manchester,KY,40962,-83.76452508,37.12869879,16,,Cybersecurity
,Clay County Jail (Women),Government,3/22/2025,67 Shamrock Lane,Manchester,KY,40962,-83.76452508,37.12869879,2,,Internet Basics
,Jackson County Jail - Mental Health (Men),Government,3/22/2025,1893 McCammon Ridge Rd.,McKee,KY,40447,-83.9640282,37.41532761,12,,Internet Basics
,Jackson County Jail - Mental Health (Men),Government,3/22/2025,1893 McCammon Ridge Rd.,McKee,KY,40447,-83.9640282,37.41532761,12,,Cybersecurity
,Jackson County Jail - Mental Health (Men),Government,3/22/2025,1893 McCammon Ridge Rd.,McKee,KY,40447,-83.9640282,37.41532761,4,,Internet Basics
,Jackson County Jail - Mental Health (Women),Government,3/22/2025,1893 McCammon Ridge Rd.,McKee,KY,40447,-83.9640282,37.41532761,10,,Internet Basics
,Jackson County Jail - Mental Health (Women),Government,3/22/2025,1893 McCammon Ridge Rd.,McKee,KY,40447,-83.9640282,37.41532761,10,,Cybersecurity
,Jackson County Jail - Mental Health (Women),Government,3/22/2025,1893 McCammon Ridge Rd.,McKee,KY,40447,-83.9640282,37.41532761,3,,Internet Basics
,Shepherd's House of Lexington,Rehabilitation Center,3/26/2025,635 Maxwellton Ct,Lexington,KY,40508,-84.50946613,38.03694233,10,,Internet Basics
,Shepherd's House of Lexington,Rehabilitation Center,3/26/2025,635 Maxwellton Ct,Lexington,KY,40508,-84.50946613,38.03694233,10,,Cybersecurity
,Recovery Point of Huntington,Rehabilitation Center,3/27/2025,2425 9th Ave,Huntington,WV,25703,-82.41299935,38.41865517,44,,Internet Basics
,Recovery Point of Huntington,Rehabilitation Center,3/27/2025,2425 9th Ave,Huntington,WV,25703,-82.41299935,38.41865517,44,,Cybersecurity
,Aria Men's House,Rehabilitation Center,3/28/2025,1111 US HWY 60 West ,Morehead,KY,40351,-83.44272831,38.16701413,36,,Internet Basics
,Aria Men's House,Rehabilitation Center,3/28/2025,1111 US HWY 60 West ,Morehead,KY,40351,-83.44272831,38.16701413,36,,Cybersecurity
,Chrysalis House Phase 1,Rehabilitation Center,3/31/2025,1382 Bull Lea Road,Lexington,KY,40511,-84.497938,38.0846616,6,,Internet Basics
,Chrysalis House Phase 1,Rehabilitation Center,3/31/2025,1382 Bull Lea Road,Lexington,KY,40511,-84.497938,38.0846616,6,,Cybersecurity
,Chrysalis House Phase 2,Rehabilitation Center,3/31/2025,1589 Hill Rise Drive,Lexington,KY,40504,-84.53054469,38.04711013,5,,Internet Basics
,Chrysalis House Phase 2,Rehabilitation Center,3/31/2025,1589 Hill Rise Drive,Lexington,KY,40504,-84.53054469,38.04711013,6,,Cybersecurity
,Lighthouse Recovery,Rehabilitation Center,4/1/2025,202 Bishop Lane,Elizabethtown,KY,42701,-85.85341621,37.68512854,30,,Internet Basics
,Lighthouse Recovery,Rehabilitation Center,4/1/2025,202 Bishop Lane,Elizabethtown,KY,42701,-85.85341621,37.68512854,30,,Cybersecurity
,NGR Women's Commitment House,Rehabilitation Center,4/2/2025,725 New Glendale Road,Elizabethtown,KY,42701,-85.86072012,37.67389319,17,,Internet Basics
,NGR Women's Commitment House,Rehabilitation Center,4/2/2025,725 New Glendale Road,Elizabethtown,KY,42701,-85.86072012,37.67389319,17,,Cybersecurity
,Culberson County Nutrition Center,Non-Profit,4/4/2025,1206 W Broadway St.,VanHorn,TX,79855,-104.8452413,31.03867373,13,,Computer Basics Windows 10
,Culberson County Nutrition Center,Non-Profit,4/4/2025,1206 W Broadway St.,VanHorn,TX,79855,-104.8452413,31.03867373,9,,Mobile Device Basics (iOS)
,Culberson County Nutrition Center,Non-Profit,4/4/2025,1206 W Broadway St.,VanHorn,TX,79855,-104.8452413,31.03867373,6,,Mobile Device Basics (Android)
,Culberson County Nutrition Center,Non-Profit,4/4/2025,1206 W Broadway St.,VanHorn,TX,79855,-104.8452413,31.03867373,1,,Cybersecurity
,Level Up Recovery,Rehabilitation Center,4/7/2025,1555 East New Circle Road Suite 190,Lexington,KY,40509,-84.45574987,38.01951355,18,,Internet Basics
,Level Up Recovery,Rehabilitation Center,4/7/2025,1555 East New Circle Road Suite 190,Lexington,KY,40509,-84.45574987,38.01951355,18,,Cybersecurity
,Underwood Senior Center,Senior Center,4/8/2025,"639 9th Ave, Huntington",Huntington,WV,25701,-82.44632829,38.41283865,26,,Computer Basics Windows 10
,Underwood Senior Center,Senior Center,4/8/2025,"639 9th Ave, Huntington",Huntington,WV,25701,-82.44632829,38.41283865,26,,Cybersecurity
,Virginia Career Works,Workforce Development,4/8/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,13,,Computer Basics Windows 10
,Virginia Career Works,Workforce Development,4/8/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,13,,Internet Basics
,Virginia Career Works,Workforce Development,4/8/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,10,,Email Basics
,Virginia Career Works,Workforce Development,4/8/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,5,,Cybersecurity
,Virginia Career Works,Workforce Development,4/8/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,1,,Open Lab Workshops
,The Active Life - Troup County Senior Center,Senior Center,4/9/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,9,,Computer Basics Windows 10
,The Active Life - Troup County Senior Center,Senior Center,4/9/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,9,,Cybersecurity
,The Active Life - Troup County Senior Center,Senior Center,4/9/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,2,,Email Basics
,Virginia Career Works,Workforce Development,4/9/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,5,,Video Conferencing
,Virginia Career Works,Workforce Development,4/9/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,2,,Mobile Device Basics (iOS)
,Virginia Career Works,Workforce Development,4/9/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,4,,Mobile Device Basics (Android)
,Virginia Career Works,Workforce Development,4/9/2025,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,3,,Open Lab Workshops
,The Active Life - Troup County Senior Center,Senior Center,4/10/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,6,,Internet Basics
,The Active Life - Troup County Senior Center,Senior Center,4/10/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,5,,Video Conferencing
,The Active Life - Troup County Senior Center,Senior Center,4/10/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,3,,Mobile Device Basics (iOS)
,The Active Life - Troup County Senior Center,Senior Center,4/10/2025,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,2,,Mobile Device Basics (Android)
,The Walker Sober Living House,Rehabilitation Center,4/10/2025,625 Tec Dr.,Winchester,KY,40391,-84.163697,37.9877975,76,,Internet Basics
,The Walker Sober Living House,Rehabilitation Center,4/10/2025,625 Tec Dr.,Winchester,KY,40391,-84.163697,37.9877975,76,,Cybersecurity
,The Active Life - Hogansville,Senior Center,4/11/2025,407 Church St.,Hogansville,GA,30230,-84.90501686,33.17715272,3,,Mobile Device Basics (iOS)
,The Active Life - Hogansville,Senior Center,4/11/2025,407 Church St.,Hogansville,GA,30230,-84.90501686,33.17715272,6,,Mobile Device Basics (Android)
,The Active Life - Hogansville,Senior Center,4/11/2025,407 Church St.,Hogansville,GA,30230,-84.90501686,33.17715272,9,,Cybersecurity
,Dandridge Senior Center ,Senior Center,4/14/2025,917 Elliott Ferry Rd.,Dandridge,TN,37725,-83.40257421,36.02305334,2,,Mobile Device Basics (iOS)
,Dandridge Senior Center ,Public Library,4/14/2025,917 Elliott Ferry Rd.,Dandridge,TN,37725,-83.40257421,36.02305334,2,,Mobile Device Basics (Android)
,Dandridge Senior Center ,Public Library,4/14/2025,917 Elliott Ferry Rd.,Dandridge,TN,37725,-83.40257421,36.02305334,4,,Cybersecurity
,Simpatico Cielo Vista Senior Living,Senior Center,4/14/2025,7949 Sunmount Dr.,El Paso,TX,79925,-106.3840653,31.78115684,5,,Computer Basics Windows 10
,Simpatico Cielo Vista Senior Living,Senior Center,4/14/2025,7949 Sunmount Dr.,El Paso,TX,79925,-106.3840653,31.78115684,6,,Internet Basics
,Jefferson City Senior Center,Senior Center,4/15/2025,807 W Jefferson St.,Jefferson City,TN,37760,-83.49661481,36.11664567,1,,Mobile Device Basics (iOS)
,Jefferson City Senior Center,Senior Center,4/15/2025,807 W Jefferson St.,Jefferson City,TN,37760,-83.49661481,36.11664567,5,,Mobile Device Basics (Android)
,Jefferson City Senior Center,Senior Center,4/15/2025,807 W Jefferson St.,Jefferson City,TN,37760,-83.49661481,36.11664567,6,,Cybersecurity
,Simpatico Cielo Vista Senior Living,Senior Center,4/15/2025,7949 Sunmount Dr.,El Paso,TX,79925,-106.3840653,31.78115684,7,,Email Basics
,Simpatico Cielo Vista Senior Living,Senior Center,4/15/2025,7949 Sunmount Dr.,El Paso,TX,79925,-106.3840653,31.78115684,4,,Mobile Device Basics (iOS)
,Simpatico Cielo Vista Senior Living,Senior Center,4/15/2025,7949 Sunmount Dr.,El Paso,TX,79925,-106.3840653,31.78115684,3,,Mobile Device Basics (Android)
,Simpatico Cielo Vista Senior Living,Senior Center,4/15/2025,7949 Sunmount Dr.,El Paso,TX,79925,-106.3840653,31.78115684,1,,Open Lab Workshops
